Perioden;Totaal;15 tot 25 jaar;25 tot 45 jaar;45 tot 75 jaar
1-9-2015;66,7;68,4;83,3;55,5
1-10-2015;66,7;68,3;83,5;55,4
1-11-2015;66,7;68,2;83,5;55,4
1-12-2015;66,7;68;83,6;55,5
1-1-2016;66,8;67,9;83,6;55,7
1-2-2016;66,8;68,2;83,6;55,6
1-3-2016;66,8;68,1;83,5;55,7
1-4-2016;67;68,6;83,8;55,8
1-5-2016;67;68,7;83,8;55,7
1-6-2016;67,1;68,5;83,7;56
1-7-2016;67,2;68,6;83,8;56,2
1-8-2016;67,3;68,8;83,9;56,2
1-9-2016;67,3;68,7;83,7;56,5
1-10-2016;67,4;68,7;83,9;56,5
1-11-2016;67,4;68,7;83,9;56,4
1-12-2016;67,5;68,7;84,1;56,5
1-1-2017;67,6;69;84,1;56,7
1-2-2017;67,5;68,8;84,1;56,6
1-3-2017;67,7;68,9;84,4;56,7
1-4-2017;67,7;69;84,4;56,7
1-5-2017;67,7;69,5;84,3;56,7
1-6-2017;67,8;69,8;84,3;56,8
1-7-2017;68;70,2;84,3;57,1
1-8-2017;68,1;70,2;84,4;57,2
1-9-2017;68,2;70,7;84,3;57,3
1-10-2017;68,2;70,8;84,3;57,3
1-11-2017;68,3;71,1;84,2;57,4
1-12-2017;68,3;71;84,3;57,3
1-1-2018;68,5;71,4;84,6;57,4
1-2-2018;68,5;71,2;84,7;57,5
1-3-2018;68,7;71,2;84,8;57,8
1-4-2018;68,8;71,3;84,8;57,9
1-5-2018;68,9;71,5;85,2;57,9
1-6-2018;69;71,3;85,5;57,9
1-7-2018;69,1;71,1;85,7;58
1-8-2018;69,3;71,2;86;58,2
1-9-2018;69,4;71,4;86,1;58,3
1-10-2018;69,5;71,8;85,9;58,4
1-11-2018;69,7;72,1;86,2;58,6
1-12-2018;69,7;72,5;86;58,5
1-1-2019;69,8;72,7;86,1;58,7
1-2-2019;69,9;72,8;86,1;58,8
1-3-2019;69,9;72,7;86,2;58,8
1-4-2019;70;73,1;86;58,9
1-5-2019;70;73,1;86;58,9
1-6-2019;70,1;72,9;86;59,1
1-7-2019;70;72,6;86;59,2
1-8-2019;70;72,5;85,9;59,2
1-9-2019;70,1;72,3;86;59,3
1-10-2019;70,2;72,7;85,9;59,5
1-11-2019;70,2;73;85,8;59,4
1-12-2019;70,4;73,6;85,9;59,5
1-1-2020;70,6;73,6;86,2;59,7
1-2-2020;70,5;73,5;86,2;59,7
1-3-2020;70,3;72,8;86,1;59,5
1-4-2020;69,2;68,1;85,8;58,9
1-5-2020;69;66,9;85,6;59,2
1-6-2020;69,2;68,2;85,3;59,3
1-7-2020;69,2;68,2;85,3;59,3
1-8-2020;69,3;68,3;85,4;59,3
1-9-2020;69,2;68,7;85,5;59
1-10-2020;69,5;70,3;85,7;59
1-11-2020;69,7;70,2;85,8;59,3
1-12-2020;69,7;69,8;85,9;59,4
1-1-2021;69,7;69,8;85,9;59,4
1-2-2021;69,9;69,9;86,1;59,5
1-3-2021;69,7;69,9;86;59,2
1-4-2021;69,8;70,2;86,1;59,2
1-5-2021;69,8;70,2;86,1;59,3
1-6-2021;70,4;71,9;86,4;59,6
1-7-2021;70,5;72,3;86,5;59,7
1-8-2021;70,7;72,7;86,4;59,9
1-9-2021;70,8;72,8;86,6;60
1-10-2021;71,1;73,1;86,9;60,2
1-11-2021;71,2;73,3;87;60,3
1-12-2021;71,2;73,7;86,7;60,4
1-1-2022;71,5;74,3;86,9;60,5
1-2-2022;71,6;74,8;87;60,5
1-3-2022;72;75,6;87,2;60,9
1-4-2022;72,2;75,9;87,5;61,1
1-5-2022;72,3;76,1;87,4;61,1
1-6-2022;72,2;75,7;87,2;61,1
1-7-2022;72,2;75,6;87,3;61,1
1-8-2022;72,1;74,9;87,3;61,2
1-9-2022;72,1;75;87,2;61,3
