"GemNaam","2021 ( duizend euro)","2020 ( duizend euro)"
"Groningen (gemeente)","321,8","278,7"
"Almere","390,7","330,1"
"Stadskanaal","250,7","217,5"
"Veendam","231,4","206,2"
"Zeewolde","324,0","315,7"
"Achtkarspelen","295,0","241,1"
"Ameland","345,2","346,9"
"Harlingen","272,3","234,2"
"Heerenveen","317,7","286,2"
"Leeuwarden","262,2","230,7"
"Ooststellingwerf","319,6","253,0"
"Opsterland","320,3","284,1"
"Schiermonnikoog","430,2","347,2"
"Smallingerland","282,9","244,1"
"Terschelling","418,1","382,3"
"Vlieland","431,3","402,2"
"Weststellingwerf","318,9","264,5"
"Assen","301,1","250,6"
"Coevorden","312,6","276,6"
"Emmen","262,0","226,5"
"Hoogeveen","272,3","232,9"
"Meppel","325,8","259,5"
"Almelo","273,2","222,7"
"Borne","336,6","311,1"
"Dalfsen","393,4","344,3"
"Deventer","343,6","288,5"
"Enschede","293,3","250,3"
"Haaksbergen","363,5","306,5"
"Hardenberg","303,2","270,2"
"Hellendoorn","334,8","308,0"
"Hengelo (O.)","289,2","249,1"
"Kampen","310,7","269,4"
"Losser","327,2","263,8"
"Noordoostpolder","286,0","252,1"
"Oldenzaal","325,3","291,3"
"Ommen","378,6","317,6"
"Raalte","347,2","310,7"
"Staphorst","337,5","303,9"
"Tubbergen","372,4","328,7"
"Urk","296,2","262,5"
"Wierden","376,4","346,8"
"Zwolle","363,1","315,9"
"Aalten","306,4","261,8"
"Apeldoorn","379,4","316,0"
"Arnhem","344,7","279,6"
"Barneveld","451,3","389,9"
"Beuningen","378,8","334,9"
"Brummen","377,7","351,3"
"Buren","429,2","365,0"
"Culemborg","385,6","319,6"
"Doesburg","347,3","284,8"
"Doetinchem","331,9","292,3"
"Druten","368,1","310,6"
"Duiven","356,1","285,7"
"Ede","392,4","330,0"
"Elburg","348,9","297,1"
"Epe","463,6","383,6"
"Ermelo","424,2","360,1"
"Harderwijk","369,5","338,7"
"Hattem","437,3","336,3"
"Heerde","404,4","352,9"
"Heumen","403,3","371,9"
"Lochem","437,8","384,0"
"Maasdriel","405,2","344,3"
"Nijkerk","426,6","389,6"
"Nijmegen","364,8","323,7"
"Oldebroek","349,4","319,9"
"Putten","470,1","407,2"
"Renkum","478,4","374,2"
"Rheden","367,0","315,8"
"Rozendaal","796,1","610,6"
"Scherpenzeel","424,2","339,0"
"Tiel","323,1","287,2"
"Voorst","410,9","380,9"
"Wageningen","403,3","349,5"
"Westervoort","320,0","278,0"
"Winterswijk","291,2","238,3"
"Wijchen","382,3","325,7"
"Zaltbommel","403,4","338,8"
"Zevenaar","305,0","261,5"
"Zutphen","324,9","265,9"
"Nunspeet","424,3","359,9"
"Dronten","328,9","288,2"
"Amersfoort","416,9","379,1"
"Baarn","529,1","473,9"
"De Bilt","634,8","540,4"
"Bunnik","537,4","441,0"
"Bunschoten","401,1","363,8"
"Eemnes","504,9","460,7"
"Houten","502,7","446,6"
"Leusden","434,6","419,0"
"Lopik","397,8","340,7"
"Montfoort","422,3","353,8"
"Renswoude","426,9","360,6"
"Rhenen","447,7","395,6"
"Soest","506,5","416,8"
"Utrecht (gemeente)","469,9","405,8"
"Veenendaal","367,6","311,7"
"Woudenberg","434,0","382,9"
"Wijk bij Duurstede","422,9","375,1"
"IJsselstein","413,1","368,0"
"Zeist","571,9","473,2"
"Nieuwegein","362,7","298,1"
"Aalsmeer","538,8","438,1"
"Alkmaar","365,4","313,9"
"Amstelveen","625,7","534,7"
"Amsterdam","569,9","510,9"
"Beemster","502,0","463,8"
"Bergen (NH.)","659,5","549,9"
"Beverwijk","335,8","304,6"
"Blaricum","1067,3","831,8"
"Bloemendaal","1007,9","863,3"
"Castricum","461,1","395,2"
"Diemen","465,7","414,6"
"Edam-Volendam","357,4","353,7"
"Enkhuizen","326,9","269,1"
"Haarlem","507,9","447,4"
"Haarlemmermeer","470,3","403,3"
"Heemskerk","404,1","355,8"
"Heemstede","694,9","647,5"
"Heerhugowaard","324,0","300,4"
"Heiloo","558,5","439,2"
"Den Helder","225,9","195,9"
"Hilversum","521,3","440,1"
"Hoorn","351,7","294,2"
"Huizen","536,0","449,5"
"Landsmeer","593,7","538,1"
"Langedijk","370,2","353,1"
"Laren (NH.)","989,4","788,0"
"Medemblik","375,3","306,3"
"Oostzaan","482,8","478,6"
"Opmeer","381,8","330,8"
"Ouder-Amstel","554,5","511,3"
"Purmerend","362,6","305,9"
"Schagen","341,5","308,0"
"Texel","377,3","359,0"
"Uitgeest","413,9","377,1"
"Uithoorn","435,2","394,0"
"Velsen","406,0","361,6"
"Weesp","434,8","416,1"
"Zandvoort","529,7","459,7"
"Zaanstad","355,7","315,7"
"Alblasserdam","332,8","292,6"
"Alphen aan den Rijn","360,0","320,2"
"Barendrecht","433,3","376,9"
"Drechterland","390,2","337,3"
"Brielle","371,8","330,6"
"Capelle aan den IJssel","343,1","294,1"
"Delft","395,5","339,9"
