,ID,TypeGefailleerde,RegioS,Perioden,UitgesprokenFaillissementen_1
1864,1864,"Bedrijven, instellingen en eenmanszaken",Groningen,2009 januari,16.0
1865,1865,"Bedrijven, instellingen en eenmanszaken",Groningen,2009 februari,16.0
1866,1866,"Bedrijven, instellingen en eenmanszaken",Groningen,2009 maart,27.0
1867,1867,"Bedrijven, instellingen en eenmanszaken",Groningen,2009 1e kwartaal,59.0
1868,1868,"Bedrijven, instellingen en eenmanszaken",Groningen,2009 april,19.0
1869,1869,"Bedrijven, instellingen en eenmanszaken",Groningen,2009 mei,18.0
1870,1870,"Bedrijven, instellingen en eenmanszaken",Groningen,2009 juni,15.0
1871,1871,"Bedrijven, instellingen en eenmanszaken",Groningen,2009 2e kwartaal,52.0
1872,1872,"Bedrijven, instellingen en eenmanszaken",Groningen,2009 juli,23.0
1873,1873,"Bedrijven, instellingen en eenmanszaken",Groningen,2009 augustus,18.0
1874,1874,"Bedrijven, instellingen en eenmanszaken",Groningen,2009 september,25.0
1875,1875,"Bedrijven, instellingen en eenmanszaken",Groningen,2009 3e kwartaal,66.0
1876,1876,"Bedrijven, instellingen en eenmanszaken",Groningen,2009 oktober,11.0
1877,1877,"Bedrijven, instellingen en eenmanszaken",Groningen,2009 november,31.0
1878,1878,"Bedrijven, instellingen en eenmanszaken",Groningen,2009 december,17.0
1879,1879,"Bedrijven, instellingen en eenmanszaken",Groningen,2009 4e kwartaal,59.0
1880,1880,"Bedrijven, instellingen en eenmanszaken",Groningen,2009,236.0
1881,1881,"Bedrijven, instellingen en eenmanszaken",Groningen,2010 januari,17.0
1882,1882,"Bedrijven, instellingen en eenmanszaken",Groningen,2010 februari,23.0
1883,1883,"Bedrijven, instellingen en eenmanszaken",Groningen,2010 maart,21.0
1884,1884,"Bedrijven, instellingen en eenmanszaken",Groningen,2010 1e kwartaal,61.0
1885,1885,"Bedrijven, instellingen en eenmanszaken",Groningen,2010 april,13.0
1886,1886,"Bedrijven, instellingen en eenmanszaken",Groningen,2010 mei,27.0
1887,1887,"Bedrijven, instellingen en eenmanszaken",Groningen,2010 juni,30.0
1888,1888,"Bedrijven, instellingen en eenmanszaken",Groningen,2010 2e kwartaal,70.0
1889,1889,"Bedrijven, instellingen en eenmanszaken",Groningen,2010 juli,23.0
1890,1890,"Bedrijven, instellingen en eenmanszaken",Groningen,2010 augustus,29.0
1891,1891,"Bedrijven, instellingen en eenmanszaken",Groningen,2010 september,18.0
1892,1892,"Bedrijven, instellingen en eenmanszaken",Groningen,2010 3e kwartaal,70.0
1893,1893,"Bedrijven, instellingen en eenmanszaken",Groningen,2010 oktober,21.0
1894,1894,"Bedrijven, instellingen en eenmanszaken",Groningen,2010 november,18.0
1895,1895,"Bedrijven, instellingen en eenmanszaken",Groningen,2010 december,19.0
1896,1896,"Bedrijven, instellingen en eenmanszaken",Groningen,2010 4e kwartaal,58.0
1897,1897,"Bedrijven, instellingen en eenmanszaken",Groningen,2010,259.0
1898,1898,"Bedrijven, instellingen en eenmanszaken",Groningen,2011 januari,17.0
1899,1899,"Bedrijven, instellingen en eenmanszaken",Groningen,2011 februari,14.0
1900,1900,"Bedrijven, instellingen en eenmanszaken",Groningen,2011 maart,19.0
1901,1901,"Bedrijven, instellingen en eenmanszaken",Groningen,2011 1e kwartaal,50.0
1902,1902,"Bedrijven, instellingen en eenmanszaken",Groningen,2011 april,19.0
1903,1903,"Bedrijven, instellingen en eenmanszaken",Groningen,2011 mei,19.0
1904,1904,"Bedrijven, instellingen en eenmanszaken",Groningen,2011 juni,5.0
1905,1905,"Bedrijven, instellingen en eenmanszaken",Groningen,2011 2e kwartaal,43.0
1906,1906,"Bedrijven, instellingen en eenmanszaken",Groningen,2011 juli,10.0
1907,1907,"Bedrijven, instellingen en eenmanszaken",Groningen,2011 augustus,11.0
1908,1908,"Bedrijven, instellingen en eenmanszaken",Groningen,2011 september,21.0
1909,1909,"Bedrijven, instellingen en eenmanszaken",Groningen,2011 3e kwartaal,42.0
1910,1910,"Bedrijven, instellingen en eenmanszaken",Groningen,2011 oktober,20.0
1911,1911,"Bedrijven, instellingen en eenmanszaken",Groningen,2011 november,22.0
1912,1912,"Bedrijven, instellingen en eenmanszaken",Groningen,2011 december,8.0
1913,1913,"Bedrijven, instellingen en eenmanszaken",Groningen,2011 4e kwartaal,50.0
1914,1914,"Bedrijven, instellingen en eenmanszaken",Groningen,2011,185.0
1915,1915,"Bedrijven, instellingen en eenmanszaken",Groningen,2012 januari,20.0
1916,1916,"Bedrijven, instellingen en eenmanszaken",Groningen,2012 februari,13.0
1917,1917,"Bedrijven, instellingen en eenmanszaken",Groningen,2012 maart,14.0
1918,1918,"Bedrijven, instellingen en eenmanszaken",Groningen,2012 1e kwartaal,47.0
1919,1919,"Bedrijven, instellingen en eenmanszaken",Groningen,2012 april,15.0
1920,1920,"Bedrijven, instellingen en eenmanszaken",Groningen,2012 mei,10.0
1921,1921,"Bedrijven, instellingen en eenmanszaken",Groningen,2012 juni,26.0
1922,1922,"Bedrijven, instellingen en eenmanszaken",Groningen,2012 2e kwartaal,51.0
1923,1923,"Bedrijven, instellingen en eenmanszaken",Groningen,2012 juli,26.0
1924,1924,"Bedrijven, instellingen en eenmanszaken",Groningen,2012 augustus,10.0
1925,1925,"Bedrijven, instellingen en eenmanszaken",Groningen,2012 september,38.0
1926,1926,"Bedrijven, instellingen en eenmanszaken",Groningen,2012 3e kwartaal,74.0
1927,1927,"Bedrijven, instellingen en eenmanszaken",Groningen,2012 oktober,36.0
1928,1928,"Bedrijven, instellingen en eenmanszaken",Groningen,2012 november,15.0
1929,1929,"Bedrijven, instellingen en eenmanszaken",Groningen,2012 december,12.0
1930,1930,"Bedrijven, instellingen en eenmanszaken",Groningen,2012 4e kwartaal,63.0
1931,1931,"Bedrijven, instellingen en eenmanszaken",Groningen,2012,235.0
1932,1932,"Bedrijven, instellingen en eenmanszaken",Groningen,2013 januari,38.0
1933,1933,"Bedrijven, instellingen en eenmanszaken",Groningen,2013 februari,24.0
1934,1934,"Bedrijven, instellingen en eenmanszaken",Groningen,2013 maart,34.0
1935,1935,"Bedrijven, instellingen en eenmanszaken",Groningen,2013 1e kwartaal,96.0
1936,1936,"Bedrijven, instellingen en eenmanszaken",Groningen,2013 april,28.0
1937,1937,"Bedrijven, instellingen en eenmanszaken",Groningen,2013 mei,24.0
1938,1938,"Bedrijven, instellingen en eenmanszaken",Groningen,2013 juni,30.0
1939,1939,"Bedrijven, instellingen en eenmanszaken",Groningen,2013 2e kwartaal,82.0
1940,1940,"Bedrijven, instellingen en eenmanszaken",Groningen,2013 juli,43.0
1941,1941,"Bedrijven, instellingen en eenmanszaken",Groningen,2013 augustus,15.0
1942,1942,"Bedrijven, instellingen en eenmanszaken",Groningen,2013 september,10.0
1943,1943,"Bedrijven, instellingen en eenmanszaken",Groningen,2013 3e kwartaal,68.0
1944,1944,"Bedrijven, instellingen en eenmanszaken",Groningen,2013 oktober,25.0
1945,1945,"Bedrijven, instellingen en eenmanszaken",Groningen,2013 november,22.0
1946,1946,"Bedrijven, instellingen en eenmanszaken",Groningen,2013 december,19.0
1947,1947,"Bedrijven, instellingen en eenmanszaken",Groningen,2013 4e kwartaal,66.0
1948,1948,"Bedrijven, instellingen en eenmanszaken",Groningen,2013,312.0
1949,1949,"Bedrijven, instellingen en eenmanszaken",Groningen,2014 januari,34.0
1950,1950,"Bedrijven, instellingen en eenmanszaken",Groningen,2014 februari,23.0
1951,1951,"Bedrijven, instellingen en eenmanszaken",Groningen,2014 maart,39.0
1952,1952,"Bedrijven, instellingen en eenmanszaken",Groningen,2014 1e kwartaal,96.0
1953,1953,"Bedrijven, instellingen en eenmanszaken",Groningen,2014 april,19.0
1954,1954,"Bedrijven, instellingen en eenmanszaken",Groningen,2014 mei,18.0
1955,1955,"Bedrijven, instellingen en eenmanszaken",Groningen,2014 juni,24.0
1956,1956,"Bedrijven, instellingen en eenmanszaken",Groningen,2014 2e kwartaal,61.0
1957,1957,"Bedrijven, instellingen en eenmanszaken",Groningen,2014 juli,14.0
1958,1958,"Bedrijven, instellingen en eenmanszaken",Groningen,2014 augustus,15.0
1959,1959,"Bedrijven, instellingen en eenmanszaken",Groningen,2014 september,6.0
1960,1960,"Bedrijven, instellingen en eenmanszaken",Groningen,2014 3e kwartaal,35.0
1961,1961,"Bedrijven, instellingen en eenmanszaken",Groningen,2014 oktober,12.0
1962,1962,"Bedrijven, instellingen en eenmanszaken",Groningen,2014 november,12.0
1963,1963,"Bedrijven, instellingen en eenmanszaken",Groningen,2014 december,15.0
1964,1964,"Bedrijven, instellingen en eenmanszaken",Groningen,2014 4e kwartaal,39.0
1965,1965,"Bedrijven, instellingen en eenmanszaken",Groningen,2014,231.0
1966,1966,"Bedrijven, instellingen en eenmanszaken",Groningen,2015 januari,10.0
1967,1967,"Bedrijven, instellingen en eenmanszaken",Groningen,2015 februari,19.0
1968,1968,"Bedrijven, instellingen en eenmanszaken",Groningen,2015 maart,31.0
1969,1969,"Bedrijven, instellingen en eenmanszaken",Groningen,2015 1e kwartaal,60.0
1970,1970,"Bedrijven, instellingen en eenmanszaken",Groningen,2015 april,15.0
1971,1971,"Bedrijven, instellingen en eenmanszaken",Groningen,2015 mei,9.0
1972,1972,"Bedrijven, instellingen en eenmanszaken",Groningen,2015 juni,9.0
1973,1973,"Bedrijven, instellingen en eenmanszaken",Groningen,2015 2e kwartaal,33.0
1974,1974,"Bedrijven, instellingen en eenmanszaken",Groningen,2015 juli,12.0
1975,1975,"Bedrijven, instellingen en eenmanszaken",Groningen,2015 augustus,16.0
1976,1976,"Bedrijven, instellingen en eenmanszaken",Groningen,2015 september,11.0
1977,1977,"Bedrijven, instellingen en eenmanszaken",Groningen,2015 3e kwartaal,39.0
1978,1978,"Bedrijven, instellingen en eenmanszaken",Groningen,2015 oktober,13.0
1979,1979,"Bedrijven, instellingen en eenmanszaken",Groningen,2015 november,8.0
1980,1980,"Bedrijven, instellingen en eenmanszaken",Groningen,2015 december,12.0
1981,1981,"Bedrijven, instellingen en eenmanszaken",Groningen,2015 4e kwartaal,33.0
1982,1982,"Bedrijven, instellingen en eenmanszaken",Groningen,2015,165.0
1983,1983,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 januari,4.0
1984,1984,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 februari,9.0
1985,1985,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 maart,7.0
1986,1986,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 1e kwartaal,20.0
1987,1987,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 april,12.0
