Perioden;Totaal;15 tot 25 jaar;25 tot 45 jaar;45 tot 75 jaar
1-9-2015;7,8;12,7;6;7,4
1-10-2015;7,9;12,8;6;7,5
1-11-2015;7,7;12,5;5,8;7,4
1-12-2015;7,6;12,4;5,7;7,4
1-1-2016;7,4;12,4;5,5;7,2
1-2-2016;7,5;12,5;5,6;7,2
1-3-2016;7,4;12,6;5,6;7
1-4-2016;7,4;12,5;5,5;7
1-5-2016;7,2;12,4;5,3;7
1-6-2016;7,1;12,1;5,4;6,7
1-7-2016;7;12,1;5,4;6,5
1-8-2016;6,8;11,9;5,2;6,3
1-9-2016;6,7;11,8;5,2;6
1-10-2016;6,6;11,8;4,9;6
1-11-2016;6,6;11,6;5;6
1-12-2016;6,4;11,5;4,7;5,8
1-1-2017;6,4;11,2;4,8;5,8
1-2-2017;6,3;11,1;4,7;5,8
1-3-2017;6,2;11;4,5;5,8
1-4-2017;6,1;11;4,4;5,6
1-5-2017;6,1;10,5;4,5;5,7
1-6-2017;6;10,4;4,4;5,6
1-7-2017;5,9;10,3;4,5;5,3
1-8-2017;5,7;10,3;4,4;5,1
1-9-2017;5,7;10;4,4;5,1
1-10-2017;5,5;9,5;4,2;5
1-11-2017;5,4;9,4;4,2;4,9
1-12-2017;5,4;9,6;4;4,9
1-1-2018;5,2;9,1;3,9;4,9
1-2-2018;5,1;8,9;3,7;4,8
1-3-2018;5;8,7;3,6;4,7
1-4-2018;4,9;8,6;3,6;4,7
1-5-2018;4,9;8,7;3,5;4,7
1-6-2018;4,9;9;3,4;4,7
1-7-2018;4,9;9,1;3,3;4,6
1-8-2018;4,9;9,5;3,3;4,6
1-9-2018;4,8;9,2;3,2;4,4
1-10-2018;4,7;8,9;3,3;4,3
1-11-2018;4,6;8,6;3,2;4,2
1-12-2018;4,6;8,4;3,4;4,2
1-1-2019;4,6;8,3;3,4;4,2
1-2-2019;4,4;8,2;3,3;3,9
1-3-2019;4,4;8,2;3,3;3,8
1-4-2019;4,3;7,9;3,3;3,7
1-5-2019;4,3;8,1;3,3;3,7
1-6-2019;4,4;8,4;3,5;3,7
1-7-2019;4,4;8,5;3,5;3,7
1-8-2019;4,5;8,7;3,6;3,6
1-9-2019;4,5;8,9;3,6;3,6
1-10-2019;4,5;9;3,6;3,5
1-11-2019;4,5;9;3,7;3,4
1-12-2019;4,3;8,4;3,5;3,2
1-1-2020;4,1;8,1;3,3;3
1-2-2020;4;8;3,4;2,9
1-3-2020;4,1;8,2;3,4;2,9
1-4-2020;4,5;10,3;3,6;3,1
1-5-2020;4,6;11;3,6;3,1
1-6-2020;5,4;12,2;4,4;3,6
1-7-2020;5,5;12,2;4,5;3,9
1-8-2020;5,5;12,3;4,4;3,9
1-9-2020;5,4;12;4,2;3,9
1-10-2020;5,3;11,4;4,3;3,7
1-11-2020;5;10,8;4,2;3,5
1-12-2020;4,9;10,9;4,1;3,4
1-1-2021;4,7;10,6;3,7;3,2
1-2-2021;4,7;10,8;3,6;3,2
1-3-2021;4,6;10,4;3,5;3,2
1-4-2021;4,5;10,3;3,3;3,2
1-5-2021;4,4;10,1;3,2;3,1
1-6-2021;4,2;9,3;3,2;3,1
1-7-2021;4,1;8,8;3,2;2,9
1-8-2021;4,2;9;3,6;2,8
1-9-2021;4,1;9;3,4;2,8
1-10-2021;3,9;8,5;3,2;2,7
1-11-2021;3,7;7,8;3;2,6
1-12-2021;3,8;7,8;3,2;2,7
1-1-2022;3,6;7,6;3;2,5
1-2-2022;3,4;7,3;2,8;2,4
1-3-2022;3,3;7,1;2,7;2,4
1-4-2022;3,2;6,9;2,5;2,3
1-5-2022;3,3;7,2;2,6;2,3
1-6-2022;3,4;7,5;2,8;2,4
1-7-2022;3,6;7,8;2,9;2,4
1-8-2022;3,8;8,6;3;2,6
1-9-2022;3,8;8,4;3,1;2,7
