Regio's;Onderwerp;1995;2000;2005;2010;2015;2020;2021
Groningen ;Gemiddelde verkoopprijs;67913;111768;168081;177940;171679;241080;283578
Friesland;Gemiddelde verkoopprijs;67992;125834;178770;195349;180461;254223;290253
Drenthe ;Gemiddelde verkoopprijs;84984;147524;192449;205264;194566;266616;316653
Overijssel ;Gemiddelde verkoopprijs;83597;152617;198475;211088;198713;282983;325701
Flevoland ;Gemiddelde verkoopprijs;91262;155987;196149;206530;194188;301754;351576
Gelderland ;Gemiddelde verkoopprijs;101759;190676;236534;245990;227324;323723;379346
Utrecht ;Gemiddelde verkoopprijs;109909;210598;257807;283922;264382;404811;460992
Noord-Holland ;Gemiddelde verkoopprijs;101308;203428;247406;275914;273911;424553;490225
Zuid-Holland ;Gemiddelde verkoopprijs;90469;159392;213568;230543;221441;333763;384214
Zeeland ;Gemiddelde verkoopprijs;75095;118726;189534;197788;193489;259014;294022
Noord-Brabant ;Gemiddelde verkoopprijs;100121;185790;244063;254941;235669;337960;385036
Limburg ;Gemiddelde verkoopprijs;94311;157384;191026;195206;191829;263910;300777
